"Bash patch";"42-044";"http://ftp.gnu.org/gnu/bash/bash-4.2-patches/bash42-044"
"Bash patch";"42-045";"http://ftp.gnu.org/gnu/bash/bash-4.2-patches/bash42-045"
"Bzip2";"1.0.6";"http://www.bzip.org/1.0.6/bzip2-1.0.6.tar.gz"
"Coreutils";"8.21";"http://ftp.gnu.org/gnu/coreutils/coreutils-8.21.tar.xz"
"Diffutils";"3.3";"http://ftp.gnu.org/gnu/diffutils/diffutils-3.3.tar.xz"
"Findutils";"4.4.2";"http://ftp.gnu.org/gnu/findutils/findutils-4.4.2.tar.gz"
"Gawk";"4.0.2";"http://ftp.gnu.org/gnu/gawk/gawk-4.0.2.tar.xz"
"Expect";"5.45";"http://sourceforge.net/projects/expect/files/Expect/5.45/expect5.45.tar.gz"
"Gettext";"0.18.2";"http://ftp.gnu.org/gnu/gettext/gettext-0.18.2.tar.gz"
"Grep";"2.14";"http://ftp.gnu.org/gnu/grep/grep-2.14.tar.xz"
"Gzip";"1.5";"http://ftp.gnu.org/gnu/gzip/gzip-1.5.tar.xz"
"make";"3.82";"http://ftp.gnu.org/gnu/make/make-3.82.tar.gz"
"Ncurses";"5.9";"ftp://ftp.gnu.org/gnu/ncurses/ncurses-5.9.tar.gz"
"patch";"2.7.1";"http://ftp.gnu.org/gnu/patch/patch-2.7.1.tar.xz"
"perl";"5.16.3";"http://www.cpan.org/src/5.0/perl-5.16.3.tar.gz"
"Sed";"4.2.2";"http://ftp.gnu.org/gnu/sed/sed-4.2.2.tar.gz"
"Tar";"1.26";"http://ftp.gnu.org/gnu/tar/tar-1.26.tar.xz"
"Xz-utils";"5.0.4";"http://tukaani.org/xz/xz-5.0.4.tar.xz"
"zlib";"1.2.8";"http://zlib.net/zlib-1.2.8.tar.xz"
